trip_id,start_time,end_time,headway_secs,exact_times
1377_458,05:00:00,06:00:00,780,0
1377_458,06:00:00,09:00:00,480,0
1377_458,09:00:00,12:30:00,780,0
1377_458,12:30:00,17:30:00,480,0
1377_458,17:30:00,22:30:00,780,0
1377_508,05:00:00,22:30:00,780,0
1378_459,05:00:00,06:00:00,780,0
1378_459,06:00:00,09:00:00,480,0
1378_459,09:00:00,12:30:00,780,0
1378_459,12:30:00,17:30:00,480,0
1378_459,17:30:00,22:30:00,780,0
1378_509,05:00:00,22:30:00,780,0
1379_460,05:00:00,22:30:00,840,0
1379_510,05:00:00,22:30:00,1080,0
1380_461,05:00:00,22:30:00,780,0
1380_511,05:00:00,22:30:00,1080,0
1381_462,05:00:00,22:30:00,900,0
1381_512,05:00:00,22:30:00,1200,0
1382_463,05:00:00,22:30:00,900,0
1382_513,05:00:00,22:30:00,1200,0
1383_464,17:30:00,22:30:00,840,0
1383_464,05:00:00,06:00:00,840,0
1383_464,06:00:00,09:00:00,540,0
1383_464,09:00:00,12:30:00,840,0
1383_464,12:30:00,17:30:00,540,0
1383_514,05:00:00,22:30:00,840,0
1385_465,05:00:00,06:00:00,960,0
1385_465,06:00:00,09:00:00,660,0
1385_465,09:00:00,12:30:00,960,0
1385_465,12:30:00,17:30:00,660,0
1385_465,17:30:00,22:30:00,960,0
1385_515,05:00:00,22:30:00,960,0
1386_466,05:00:00,06:00:00,960,0
1386_466,06:00:00,09:00:00,660,0
1386_466,09:00:00,12:30:00,960,0
1386_466,12:30:00,17:30:00,660,0
1386_466,17:30:00,22:30:00,960,0
1386_516,05:00:00,22:30:00,960,0
1389_467,05:00:00,22:30:00,540,0
1389_517,05:00:00,22:30:00,600,0
1390_468,05:00:00,22:30:00,540,0
1390_518,05:00:00,22:30:00,600,0
1391_469,09:00:00,12:30:00,720,0
1391_469,12:30:00,17:30:00,600,0
1391_469,17:30:00,22:30:00,720,0
1391_469,05:00:00,06:00:00,720,0
1391_469,06:00:00,09:00:00,600,0
1391_519,05:00:00,22:30:00,720,0
1392_470,09:00:00,12:30:00,720,0
1392_470,12:30:00,17:30:00,600,0
1392_470,17:30:00,22:30:00,720,0
1392_470,05:00:00,06:00:00,720,0
1392_470,06:00:00,09:00:00,600,0
1392_520,05:00:00,22:30:00,720,0
1393_471,09:00:00,12:30:00,900,0
1393_471,12:30:00,17:30:00,420,0
1393_471,17:30:00,22:30:00,900,0
1393_471,05:00:00,06:00:00,900,0
1393_471,06:00:00,09:00:00,420,0
1393_521,05:00:00,22:30:00,900,0
1394_472,12:30:00,17:30:00,420,0
1394_472,17:30:00,22:30:00,900,0
1394_472,05:00:00,06:00:00,900,0
1394_472,06:00:00,09:00:00,420,0
1394_472,09:00:00,12:30:00,900,0
1394_522,05:00:00,22:30:00,900,0
1395_473,12:30:00,17:30:00,300,0
1395_473,17:30:00,22:30:00,540,0
1395_473,05:00:00,06:00:00,540,0
1395_473,06:00:00,09:00:00,300,0
1395_473,09:00:00,12:30:00,540,0
1395_523,05:00:00,22:30:00,540,0
1396_474,17:30:00,22:30:00,540,0
1396_474,05:00:00,06:00:00,540,0
1396_474,06:00:00,09:00:00,300,0
1396_474,09:00:00,12:30:00,540,0
1396_474,12:30:00,17:30:00,300,0
1396_524,05:00:00,22:30:00,540,0
1397_475,05:00:00,22:30:00,300,0
1397_525,05:00:00,22:30:00,300,0
1398_476,05:00:00,22:30:00,300,0
1398_526,05:00:00,22:30:00,300,0
1399_477,05:00:00,06:00:00,540,0
1399_527,05:00:00,22:30:00,600,0
1400_478,05:00:00,22:30:00,540,0
1400_528,05:00:00,22:30:00,600,0
1401_479,09:00:00,12:30:00,240,0
1401_479,12:30:00,17:30:00,180,0
1401_479,17:30:00,22:30:00,240,0
1401_479,05:00:00,06:00:00,240,0
1401_479,06:00:00,09:00:00,180,0
1401_529,05:00:00,22:30:00,420,0
1402_480,12:30:00,17:30:00,180,0
1402_480,17:30:00,22:30:00,240,0
1402_480,05:00:00,06:00:00,240,0
1402_480,06:00:00,09:00:00,180,0
1402_480,09:00:00,12:30:00,240,0
1402_530,05:00:00,22:30:00,420,0
1403_531,05:00:00,22:30:00,600,0
1404_532,05:00:00,22:30:00,600,0
1405_483,06:00:00,09:00:00,420,0
1405_483,09:00:00,12:30:00,600,0
1405_483,12:30:00,17:30:00,420,0
1405_483,17:30:00,22:30:00,600,0
1405_483,05:00:00,06:00:00,600,0
1405_533,05:00:00,22:30:00,600,0
1406_484,09:00:00,12:30:00,600,0
1406_484,12:30:00,17:30:00,420,0
1406_484,17:30:00,22:30:00,600,0
1406_484,05:00:00,06:00:00,600,0
1406_484,06:00:00,09:00:00,420,0
1406_534,05:00:00,22:30:00,600,0
1407_485,09:00:00,12:30:00,780,0
1407_485,12:30:00,17:30:00,480,0
1407_485,17:30:00,22:30:00,780,0
1407_485,05:00:00,06:00:00,780,0
1407_485,06:00:00,09:00:00,480,0
1407_535,05:00:00,22:30:00,600,0
1408_486,09:00:00,12:30:00,780,0
1408_486,12:30:00,17:30:00,480,0
1408_486,17:30:00,22:30:00,780,0
1408_486,05:00:00,06:00:00,780,0
1408_486,06:00:00,09:00:00,480,0
1408_536,05:00:00,22:30:00,600,0
1409_487,12:30:00,17:30:00,540,0
1409_487,17:30:00,22:30:00,840,0
1409_487,05:00:00,06:00:00,840,0
1409_487,06:00:00,09:00:00,540,0
1409_487,09:00:00,12:30:00,840,0
1409_537,05:00:00,22:30:00,840,0
1411_488,05:00:00,06:00:00,300,0
1411_538,05:00:00,22:30:00,480,0
1412_489,05:00:00,22:30:00,300,0
1412_539,05:00:00,22:30:00,480,0
1413_490,05:00:00,22:30:00,600,0
1413_540,05:00:00,22:30:00,600,0
1414_491,05:00:00,22:30:00,600,0
1414_541,05:00:00,22:30:00,600,0
1415_542,05:00:00,22:30:00,1800,0
1416_543,05:00:00,22:30:00,1800,0
1417_494,05:00:00,06:00:00,780,0
1417_494,06:00:00,09:00:00,600,0
1417_494,09:00:00,12:30:00,780,0
1417_494,12:30:00,17:30:00,600,0
1417_494,17:30:00,22:30:00,780,0
1417_544,05:00:00,22:30:00,780,0
1418_495,05:00:00,06:00:00,780,0
1418_495,06:00:00,09:00:00,600,0
1418_495,09:00:00,12:30:00,780,0
1418_495,12:30:00,17:30:00,600,0
1418_495,17:30:00,22:30:00,780,0
1418_545,05:00:00,22:30:00,780,0
1419_496,05:00:00,22:30:00,540,0
1419_546,05:00:00,22:30:00,600,0
1420_497,05:00:00,22:30:00,540,0
1420_547,05:00:00,22:30:00,600,0
1421_498,12:30:00,17:30:00,420,0
1421_498,17:30:00,22:30:00,480,0
1421_498,05:00:00,06:00:00,480,0
1421_498,06:00:00,09:00:00,420,0
1421_498,09:00:00,12:30:00,480,0
1421_548,05:00:00,22:30:00,600,0
1422_499,12:30:00,17:30:00,420,0
1422_499,17:30:00,22:30:00,480,0
1422_499,05:00:00,06:00:00,480,0
1422_499,06:00:00,09:00:00,420,0
1422_499,09:00:00,12:30:00,480,0
1422_549,05:00:00,22:30:00,600,0
1423_500,05:00:00,22:30:00,1800,0
1424_551,05:00:00,22:30:00,1800,0
1425_552,05:00:00,22:30:00,900,0
1426_553,05:00:00,22:30:00,900,0
1427_504,05:00:00,06:00:00,960,0
1427_504,06:00:00,09:00:00,600,0
1427_504,09:00:00,12:30:00,960,0
1427_504,12:30:00,17:30:00,600,0
1427_504,17:30:00,22:30:00,960,0
1427_554,05:00:00,22:30:00,780,0
1428_505,05:00:00,06:00:00,960,0
1428_505,06:00:00,09:00:00,600,0
1428_505,09:00:00,12:30:00,960,0
1428_505,12:30:00,17:30:00,600,0
1428_505,17:30:00,22:30:00,960,0
1428_555,05:00:00,22:30:00,780,0
1429_506,05:00:00,22:30:00,780,0
1429_556,05:00:00,22:30:00,1200,0
1430_507,05:00:00,22:30:00,780,0
1430_557,05:00:00,22:30:00,1200,0
1944_2648,05:00:00,22:30:00,960,0
1944_2649,05:00:00,22:30:00,1320,0
1945_2650,05:00:00,22:30:00,960,0
1945_2651,05:00:00,22:30:00,1320,0
