shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
718,47.17228,27.53764,0
718,47.17229,27.53765,1
718,47.17234,27.53784,2
718,47.17242,27.53791,3
718,47.17251,27.53794,4
718,47.17266,27.53797,5
718,47.17266,27.53797,6
718,47.17278,27.53799,7
718,47.17286,27.53812,8
718,47.17286,27.5386,9
718,47.17286,27.5386,10
718,47.17291,27.5399,11
718,47.17303,27.54114,12
718,47.1731,27.54184,13
718,47.17313,27.54242,14
718,47.17313,27.54242,15
718,47.17347,27.54873,16
718,47.17347,27.54873,17
718,47.17358,27.55097,18
718,47.17352,27.55183,19
718,47.17333,27.55279,20
718,47.17311,27.55387,21
718,47.17311,27.55387,22
718,47.1728,27.55539,23
718,47.17217,27.55839,24
718,47.17188,27.55955,25
718,47.17188,27.55955,26
718,47.17129,27.56092,27
718,47.17075,27.56207,28
718,47.17054,27.56245,29
718,47.17015,27.5633,30
718,47.17015,27.5633,31
718,47.16978,27.56412,32
718,47.16928,27.5651,33
718,47.16826,27.56701,34
718,47.16826,27.56701,35
718,47.16744,27.56854,36
718,47.16664,27.56994,37
718,47.16623,27.57078,38
718,47.1661,27.57096,39
718,47.16589,27.57117,40
718,47.16562,27.57131,41
718,47.16468,27.57185,42
718,47.16468,27.57185,43
718,47.16259,27.57305,44
718,47.16222,27.57322,45
718,47.16205,27.57326,46
718,47.16176,27.57328,47
718,47.16096,27.57316,48
718,47.1609,27.57315,49
718,47.16042,27.57307,50
718,47.1601,27.57307,51
718,47.15987,27.57315,52
718,47.15981,27.57319,53
718,47.15981,27.57319,54
718,47.15965,27.57332,55
718,47.15944,27.5736,56
718,47.15871,27.57459,57
718,47.15855,27.57478,58
718,47.15837,27.57489,59
718,47.15824,27.57495,60
718,47.15813,27.57497,61
718,47.15779,27.57495,62
718,47.15756,27.57491,63
718,47.15708,27.5746,64
718,47.15616,27.57408,65
718,47.15597,27.57397,66
718,47.15597,27.57397,67
718,47.15558,27.57377,68
718,47.15494,27.57355,69
718,47.15433,27.57351,70
718,47.15382,27.57361,71
718,47.15349,27.57373,72
718,47.15349,27.57373,73
718,47.153,27.57396,74
718,47.1527,27.57418,75
718,47.15209,27.57483,76
718,47.15175,27.57531,77
718,47.15022,27.57743,78
718,47.15022,27.57743,79
718,47.1491,27.57902,80
718,47.14797,27.58078,81
718,47.14797,27.58078,82
718,47.14687,27.58255,83
718,47.14643,27.58366,84
718,47.14617,27.5844,85
718,47.14611,27.5847,86
718,47.14608,27.58499,87
718,47.14605,27.58721,88
718,47.14605,27.58721,89
718,47.14604,27.58818,90
718,47.14605,27.58891,91
718,47.14617,27.58963,92
718,47.14621,27.58985,93
718,47.14635,27.59025,94
718,47.14646,27.59052,95
718,47.14658,27.59078,96
718,47.14685,27.59119,97
718,47.14744,27.59205,98
718,47.14696,27.59261,99
718,47.14696,27.59261,100
718,47.14584,27.59392,101
718,47.14507,27.59488,102
718,47.14381,27.59653,103
718,47.14335,27.59722,104
718,47.14335,27.59722,105
718,47.14167,27.59974,106
718,47.14073,27.60118,107
718,47.14065,27.6013,108
718,47.14065,27.6013,109
718,47.13738,27.60611,110
718,47.13738,27.60611,111
718,47.13513,27.60945,112
718,47.13513,27.60945,113
718,47.1346,27.61023,114
718,47.13318,27.61233,115
718,47.13292,27.61263,116
718,47.13251,27.61284,117
718,47.13194,27.61307,118
718,47.13146,27.61329,119
718,47.13106,27.61358,120
718,47.131,27.61362,121
718,47.131,27.61362,122
718,47.13063,27.61389,123
718,47.12946,27.61491,124
718,47.12883,27.61543,125
718,47.1277,27.61634,126
718,47.12749,27.61651,127
718,47.12749,27.61651,128
718,47.12718,27.61676,129
718,47.12671,27.61722,130
718,47.12647,27.6176,131
718,47.12459,27.62074,132
718,47.12427,27.62132,133
718,47.12427,27.62132,134
718,47.12348,27.62275,135
718,47.12334,27.62299,136
718,47.12319,27.62318,137
718,47.12228,27.62411,138
718,47.12203,27.62438,139
718,47.12122,27.62547,140
718,47.12088,27.62593,141
718,47.12088,27.62593,142
718,47.12064,27.62626,143
718,47.1205,27.62643,144
718,47.12047,27.6265,145
718,47.11953,27.62885,146
718,47.11909,27.6298,147
718,47.11873,27.63045,148
718,47.11873,27.63045,149
718,47.11823,27.63133,150
718,47.118,27.63159,151
718,47.11746,27.6318,152
718,47.11686,27.632,153
718,47.11658,27.63206,154
719,47.11668,27.63217,0
719,47.11667,27.63204,1
719,47.11746,27.6318,2
719,47.118,27.63159,3
719,47.11823,27.63133,4
719,47.11909,27.6298,5
719,47.11953,27.62885,6
719,47.12047,27.6265,7
719,47.1205,27.62643,8
719,47.12064,27.62626,9
719,47.12075,27.62611,10
719,47.12075,27.62611,11
