trip_id,arrival_time,departure_time,stop_id,stop_sequence
1377_458,00:00:00,00:00:00,12875,0
1377_458,00:02:00,00:02:00,12876,1
1377_458,00:04:00,00:04:00,12877,2
1377_458,00:07:00,00:07:00,12878,3
1377_458,00:09:00,00:09:00,12880,4
1377_458,00:11:00,00:11:00,12881,5
1377_458,00:13:00,00:13:00,12882,6
1377_458,00:16:00,00:16:00,12883,7
1377_458,00:18:00,00:18:00,14102,8
1377_458,00:20:00,00:20:00,13066,9
1377_458,00:22:00,00:22:00,12886,10
1377_458,00:24:00,00:24:00,12887,11
1377_458,00:27:00,00:27:00,12888,12
1377_458,00:29:00,00:29:00,12889,13
1377_458,00:31:00,00:31:00,12890,14
1377_458,00:33:00,00:33:00,12891,15
1377_458,00:36:00,00:36:00,14098,16
1377_458,00:38:00,00:38:00,12893,17
1377_458,00:40:00,00:40:00,12894,18
1377_508,00:00:00,00:00:00,12875,0
1377_508,00:02:00,00:02:00,12876,1
1377_508,00:04:00,00:04:00,12877,2
1377_508,00:07:00,00:07:00,12878,3
1377_508,00:09:00,00:09:00,12880,4
1377_508,00:11:00,00:11:00,12881,5
1377_508,00:13:00,00:13:00,12882,6
1377_508,00:16:00,00:16:00,12883,7
1377_508,00:18:00,00:18:00,14102,8
1377_508,00:20:00,00:20:00,13066,9
1377_508,00:22:00,00:22:00,12886,10
1377_508,00:24:00,00:24:00,12887,11
1377_508,00:27:00,00:27:00,12888,12
1377_508,00:29:00,00:29:00,12889,13
1377_508,00:31:00,00:31:00,12890,14
1377_508,00:33:00,00:33:00,12891,15
1377_508,00:36:00,00:36:00,14098,16
1377_508,00:38:00,00:38:00,12893,17
1377_508,00:40:00,00:40:00,12894,18
1378_459,00:00:00,00:00:00,14096,0
1378_459,00:02:00,00:02:00,14097,1
1378_459,00:04:00,00:04:00,12892,2
1378_459,00:06:00,00:06:00,12895,3
1378_459,00:08:00,00:08:00,12896,4
1378_459,00:11:00,00:11:00,14099,5
1378_459,00:13:00,00:13:00,14100,6
1378_459,00:15:00,00:15:00,12897,7
1378_459,00:17:00,00:17:00,12898,8
1378_459,00:19:00,00:19:00,12899,9
1378_459,00:21:00,00:21:00,14101,10
1378_459,00:23:00,00:23:00,12901,11
1378_459,00:25:00,00:25:00,14103,12
1378_459,00:27:00,00:27:00,13121,13
1378_459,00:29:00,00:29:00,13120,14
1378_459,00:32:00,00:32:00,12879,15
1378_459,00:34:00,00:34:00,12902,16
1378_459,00:36:00,00:36:00,12903,17
1378_459,00:38:00,00:38:00,13964,18
1378_459,00:40:00,00:40:00,12875,19
1378_509,00:00:00,00:00:00,14096,0
1378_509,00:02:00,00:02:00,14097,1
1378_509,00:04:00,00:04:00,12892,2
1378_509,00:06:00,00:06:00,12895,3
1378_509,00:08:00,00:08:00,12896,4
1378_509,00:11:00,00:11:00,14099,5
1378_509,00:13:00,00:13:00,14100,6
1378_509,00:15:00,00:15:00,12897,7
1378_509,00:17:00,00:17:00,12898,8
1378_509,00:19:00,00:19:00,12899,9
1378_509,00:21:00,00:21:00,14101,10
1378_509,00:23:00,00:23:00,12901,11
1378_509,00:25:00,00:25:00,14103,12
1378_509,00:27:00,00:27:00,13121,13
1378_509,00:29:00,00:29:00,13120,14
1378_509,00:32:00,00:32:00,12879,15
1378_509,00:34:00,00:34:00,12902,16
1378_509,00:36:00,00:36:00,12903,17
1378_509,00:38:00,00:38:00,13964,18
1378_509,00:40:00,00:40:00,12875,19
1379_460,00:00:00,00:00:00,12875,0
1379_460,00:02:00,00:02:00,12876,1
1379_460,00:05:00,00:05:00,12877,2
1379_460,00:07:00,00:07:00,12878,3
1379_460,00:09:00,00:09:00,12880,4
1379_460,00:12:00,00:12:00,12881,5
1379_460,00:14:00,00:14:00,14071,6
1379_460,00:16:00,00:16:00,14072,7
1379_460,00:19:00,00:19:00,12907,8
1379_460,00:21:00,00:21:00,12886,9
1379_460,00:23:00,00:23:00,12887,10
1379_460,00:26:00,00:26:00,12908,11
1379_460,00:28:00,00:28:00,12909,12
1379_460,00:30:00,00:30:00,12910,13
1379_460,00:33:00,00:33:00,13029,14
1379_460,00:35:00,00:35:00,12913,15
1379_510,00:00:00,00:00:00,12875,0
1379_510,00:02:00,00:02:00,12876,1
1379_510,00:05:00,00:05:00,12877,2
1379_510,00:07:00,00:07:00,12878,3
1379_510,00:09:00,00:09:00,12880,4
1379_510,00:12:00,00:12:00,12881,5
1379_510,00:14:00,00:14:00,14071,6
1379_510,00:16:00,00:16:00,14072,7
1379_510,00:19:00,00:19:00,12907,8
1379_510,00:21:00,00:21:00,12886,9
1379_510,00:23:00,00:23:00,12887,10
1379_510,00:26:00,00:26:00,12908,11
1379_510,00:28:00,00:28:00,12909,12
1379_510,00:30:00,00:30:00,12910,13
1379_510,00:33:00,00:33:00,13029,14
1379_510,00:35:00,00:35:00,12913,15
1380_461,00:00:00,00:00:00,12913,0
1380_461,00:02:00,00:02:00,12911,1
1380_461,00:05:00,00:05:00,13028,2
1380_461,00:07:00,00:07:00,14074,3
1380_461,00:09:00,00:09:00,14075,4
1380_461,00:12:00,00:12:00,12897,5
1380_461,00:14:00,00:14:00,12898,6
1380_461,00:16:00,00:16:00,14073,7
1380_461,00:19:00,00:19:00,12906,8
1380_461,00:21:00,00:21:00,12905,9
1380_461,00:23:00,00:23:00,13121,10
1380_461,00:26:00,00:26:00,13120,11
1380_461,00:28:00,00:28:00,12902,12
1380_461,00:30:00,00:30:00,12929,13
1380_461,00:33:00,00:33:00,13964,14
1380_461,00:35:00,00:35:00,12875,15
1380_511,00:00:00,00:00:00,12913,0
1380_511,00:02:00,00:02:00,12911,1
1380_511,00:05:00,00:05:00,13028,2
1380_511,00:07:00,00:07:00,14074,3
1380_511,00:09:00,00:09:00,14075,4
1380_511,00:12:00,00:12:00,12897,5
1380_511,00:14:00,00:14:00,12898,6
1380_511,00:16:00,00:16:00,14073,7
1380_511,00:19:00,00:19:00,12906,8
1380_511,00:21:00,00:21:00,12905,9
1380_511,00:23:00,00:23:00,13121,10
1380_511,00:26:00,00:26:00,13120,11
1380_511,00:28:00,00:28:00,12902,12
1380_511,00:30:00,00:30:00,12929,13
1380_511,00:33:00,00:33:00,13964,14
1380_511,00:35:00,00:35:00,12875,15
1381_462,00:00:00,00:00:00,12875,0
1381_462,00:02:00,00:02:00,12876,1
1381_462,00:04:00,00:04:00,12877,2
1381_462,00:06:00,00:06:00,13963,3
1381_462,00:09:00,00:09:00,12917,4
1381_462,00:11:00,00:11:00,12918,5
1381_462,00:13:00,00:13:00,12916,6
1381_462,00:15:00,00:15:00,12919,7
1381_462,00:17:00,00:17:00,12920,8
1381_462,00:19:00,00:19:00,12921,9
1381_462,00:21:00,00:21:00,12922,10
1381_462,00:24:00,00:24:00,12923,11
1381_462,00:26:00,00:26:00,12924,12
1381_462,00:28:00,00:28:00,12925,13
1381_462,00:30:00,00:30:00,12926,14
1381_512,00:00:00,00:00:00,12875,0
1381_512,00:02:00,00:02:00,12876,1
1381_512,00:04:00,00:04:00,12877,2
1381_512,00:06:00,00:06:00,13963,3
1381_512,00:09:00,00:09:00,12917,4
1381_512,00:11:00,00:11:00,12918,5
1381_512,00:13:00,00:13:00,12916,6
1381_512,00:15:00,00:15:00,12919,7
1381_512,00:17:00,00:17:00,12920,8
1381_512,00:19:00,00:19:00,12921,9
1381_512,00:21:00,00:21:00,12922,10
1381_512,00:24:00,00:24:00,12923,11
1381_512,00:26:00,00:26:00,12924,12
1381_512,00:28:00,00:28:00,12925,13
1381_512,00:30:00,00:30:00,12926,14
1382_463,00:00:00,00:00:00,12926,0
1382_463,00:02:00,00:02:00,13955,1
1382_463,00:05:00,00:05:00,13956,2
1382_463,00:07:00,00:07:00,13957,3
1382_463,00:09:00,00:09:00,12927,4
1382_463,00:12:00,00:12:00,12928,5
1382_463,00:14:00,00:14:00,13958,6
1382_463,00:16:00,00:16:00,13959,7
1382_463,00:18:00,00:18:00,13960,8
1382_463,00:21:00,00:21:00,13961,9
1382_463,00:23:00,00:23:00,13962,10
1382_463,00:25:00,00:25:00,12929,11
1382_463,00:28:00,00:28:00,13964,12
1382_463,00:30:00,00:30:00,12875,13
