stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
12875,Rond Canta,,47.17232,27.53767,,0,
12876,Sergent Grigore Ioan,,47.17325,27.5456,,0,
12877,Moara 1 Mai,,47.17347,27.55037,,0,
12878,Bariera Tigarete,,47.17104,27.56136,,0,
12879,Billa,,47.16747,27.56873,,0,
12880,Gara,,47.1656016941486,27.5711837419853,,0,
12881,Subpasaj ACB,,47.161405459822,27.573106885849,,0,
12882,Podu de Piatra,,47.15635,27.5741,,0,
12883,Gara Internationala (Nicolina),,47.14993,27.57769,,0,
12884,Bazar,,47.14671,27.58324,,0,
12885,Piata Nicolina,,47.14659,27.59092,,0,
12886,Casa Sindicatelor,,47.14658,27.59289,,0,
12887,Frigorifer,,47.1412,27.60028,,0,
12888,PECO Bucium,,47.13542,27.60887,,0,
12889,Spitalul nr. 7,,47.13048,27.61389,,0,
12890,Centrofarm,,47.12773,27.6162,,0,
12891,Han Trei Sarmale,,47.12362,27.62232,,0,
12892,Scoala generala nr. 2,,47.12083,27.62612,,0,
12893,Plopii fara sot,,47.11894,27.62979,,0,
12894,Rond Bucium,,47.11658,27.63188,,0,
12895,Han Trei Sarmale,,47.12441,27.62122,,0,
12896,Centrofarm,,47.12788,27.61622,,0,
12897,Frigorifer (Liceul de Chimie),,47.14205,27.59928,,0,
12898,Casa Sindicatelor,,47.14533,27.59472,,0,
12899,Piata Nicolina,,47.14616,27.58942,,0,
12900,Bazar,,47.14733,27.58177,,0,
12901,Gara Internationala (Nicolina),,47.14939,27.57878,,0,
12902,Bariera Tigarete,,47.1714131409,27.5607043514,,0,
12903,Moara 1 Mai,,47.1732583748,27.5532499561,,0,
12905,Podu de Piatra,,47.15668,27.5763,,0,
12906,Pod Cantemir (Gradinita Sf. Parascheva),,47.15329,27.58194,,0,
12907,Podu Ros,,47.15027,27.58834,,0,
12908,Camine CUG,,47.13719,27.60448,,0,
12909,Depozite,,47.13692,27.60049,,0,
12910,Liceul CUG,,47.1365064587,27.5946632633,,0,
12911,Blocuri Cetatuia,,47.13546,27.58713,,0,
12912,CUG 1 (Selgros),,47.13405,27.57553,,0,
12913,CUG 1 (Selgros),,47.13364,27.57549,,0,
12914,Biserica Lipoveneasca,,47.1527267198,27.5865844497,,0,
12915,Pod Cantemir,,47.1531064808,27.5830219397,,0,
