route_id,service_id,trip_id,trip_headsign,direction_id,wheelchair_accessible,shape_id
772,22,1377_458,Bucium,0,0,718
772,23,1377_508,Bucium,0,0,718
772,22,1378_459,Rond Canta,1,0,719
772,23,1378_509,Rond Canta,1,0,719
773,22,1379_460,CUG I,0,0,720
773,23,1379_510,CUG I,0,0,720
773,22,1380_461,Rond Canta,1,0,721
773,23,1380_511,Rond Canta,1,0,721
774,22,1381_462,Baza 3,0,0,742
774,23,1381_512,Baza 3,0,0,742
774,22,1382_463,Canta,1,0,743
774,23,1382_513,Canta,1,0,743
775,22,1383_464,Copou,0,0,748
775,23,1383_514,Copou,0,0,748
776,22,1385_465,Baza 3,0,0,751
776,23,1385_515,Baza 3,0,0,751
776,22,1386_466,Rond Canta,1,0,752
776,23,1386_516,Rond Canta,1,0,752
778,22,1389_467,Piata Dacia,0,0,762
778,23,1389_517,Piata Dacia,0,0,762
778,22,1390_468,Tehnopolis,1,0,763
778,23,1390_518,Tehnopolis,1,0,763
779,22,1391_469,Rond Bucium,0,0,738
779,23,1391_519,Rond Bucium,0,0,738
779,22,1392_470,Rond Pacurari,1,0,739
779,23,1392_520,Rond Pacurari,1,0,739
780,22,1393_471,Tutora,0,0,744
780,23,1393_521,Tutora,0,0,744
780,22,1394_472,Dacia,1,0,745
780,23,1394_522,Dacia,1,0,745
781,22,1395_473,Dancu,0,0,749
781,23,1395_523,Dancu,0,0,749
781,22,1396_474,Billa,1,0,750
781,22,1396_524,Billa,1,0,750
782,22,1397_475,Breazu,0,0,766
782,23,1397_525,Breazu,0,0,766
782,22,1398_476,Dacia,1,0,767
782,23,1398_526,Dacia,1,0,767
783,22,1399_477,Tehnopolis,0,0,758
783,23,1399_527,Tehnopolis,0,0,758
783,22,1400_478,Tatarasi Nord,1,0,759
783,23,1400_528,Tatarasi Nord,1,0,759
784,22,1401_479,Tehnopolis,0,0,724
784,23,1401_529,Tehnopolis,0,0,724
784,22,1402_480,Rond Copou,1,0,725
784,23,1402_530,Rond Copou,1,0,725
785,32,1403_531,Rond Dacia,0,0,765
785,32,1404_532,Tatarasi Sud,1,0,764
786,22,1405_483,Tg. Cucu,0,0,746
786,23,1405_533,Tg. Cucu,0,0,746
786,22,1406_484,Dacia,1,0,747
786,22,1406_534,Dacia,1,0,747
787,22,1407_485,Tatarasi,0,0,740
787,23,1407_535,Tatarasi,0,0,740
787,22,1408_486,Dacia,1,0,741
787,23,1408_536,Dacia,1,0,741
788,22,1409_487,Copou,0,0,755
788,23,1409_537,Copou,0,0,755
789,22,1411_488,Tg. Cucu,0,0,756
789,23,1411_538,Tg. Cucu,0,0,756
789,22,1412_489,METRO,1,0,757
789,23,1412_539,METRO,1,0,757
790,22,1413_490,Podu Ros,0,0,760
790,23,1413_540,Podu Ros,0,0,760
790,22,1414_491,Tomesti,1,0,761
790,23,1414_541,Tomesti,1,0,761
791,32,1415_542,CUG I,0,0,736
791,32,1416_543,Carrefour ERA,1,0,737
792,22,1417_494,CUG I,0,0,732
792,23,1417_544,CUG I,0,0,732
792,22,1418_495,Rond Copou,1,0,733
792,23,1418_545,Rond Copou,1,0,733
793,22,1419_496,Pacurari,0,0,768
793,23,1419_546,Pacurari,0,0,768
793,22,1420_497,Tatarasi Sud,1,0,771
793,23,1420_547,Tatarasi Sud,1,0,771
794,22,1421_498,Dacia,0,0,722
794,23,1421_548,Dacia,0,0,722
794,22,1422_499,Triumf,1,0,723
794,23,1422_549,Triumf,1,0,723
795,32,1423_500,Bucium,0,0,730
795,32,1424_551,Carrefour ERA,1,0,731
796,32,1425_552,Blocuri Ciurea,0,0,726
796,32,1426_553,Rond Copou,1,0,727
797,22,1427_504,CUG I,0,0,734
797,23,1427_554,CUG I,0,0,734
797,22,1428_505,Rond Pacurari,1,0,735
797,23,1428_555,Rond Pacurari,1,0,735
798,22,1429_506, Picioru Lupului,0,0,769
798,23,1429_556, Picioru Lupului,0,0,769
798,22,1430_507,Blocuri Ciurea,1,0,770
798,23,1430_557,Blocuri Ciurea,1,0,770
1054,22,1944_2648,Baza 3,0,0,753
1054,23,1944_2649,Baza 3,0,0,753
1054,22,1945_2650,Rond Copou,1,0,754
1054,23,1945_2651,Rond Copou,1,0,754
